Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
Bolivia,BOL,74.9,-0.600444853305817,9242.02728323599,8.59568067046309,99.5,91.8,31.2553672123053,68.7446327876947,10.3203360103388
Bosnia and Herzegovina,BIH,100,-0.452135771512985,12899.3962262974,7.64338380142962,100,100,51.9751154247618,48.0248845752382,67.83208984375
Botswana,BWA,28.8,0.497389316558838,16228.1231235664,20.958751393534,80.9,64.2,34.3050703145101,65.6949296854899,3.94328163322923
Brazil,BRA,98.5,-0.249387070536613,14309.2061488342,16.8239252003806,99.9,99.7,14.0512951551892,85.9487048448108,24.3137963709629
British Virgin Islands,VGB,100,..,..,..,100,100,49.8199381357578,50.1800618642422,225.853333333333
Brunei Darussalam,BRN,100,1.04869890213013,56679.5185221407,5.66744730679157,100,100,25.1183929443359,74.8816070556641,81.1316888045541
Bulgaria,BGR,94.2,0.0888326391577721,20745.8472094399,7.89990945029705,98.4,97.3,26.8249969482422,73.1750030517578,63.5053334561533
Burkina Faso,BFA,..,-0.638990938663483,1881.75893134407,14.8319814600232,59.7,16.6,74.178489627999,25.821510372001,70.6683333333333
Burundi,BDI,1.5,-1.48436272144318,764.282221636916,..,57.6,8.5,84.3819094364506,15.6180905635494,437.673325545171
Cabo Verde,CPV,78.8,0.113703817129135,7350.75358726727,..,92.3,87.5,31.9645921641684,68.0354078358316,127.184615384615
Cambodia,KHM,60.7,-0.741827428340912,4748.12428521528,16.1046111493462,96.3,68.8,67.5232563961976,32.4767436038024,89.8074042601405
Cameroon,CMR,21.8,-0.822786748409271,3626.99932028578,22.4684804246848,90.6,59.8,47.0184966163208,52.9815033836792,49.6163842525015
Canada,CAN,100,1.7445410490036,46470.6466391109,4.88962759362757,100,100,18.6976988906297,81.3023011093703,4.02771072511681
Cayman Islands,CYM,100,1.14072906970978,65680.0743282085,..,100,100,0,100,262.916666666667
Central African Republic,CAF,1.7,-1.80731046199799,826.013301383169,..,30.5,13.4,59.6191288250434,40.3808711749566,7.56631513050178
Chad,TCD,2.8,-1.55941104888916,2120.08751553857,32.9931972789116,31.1,9.2,76.8880265292821,23.1119734707179,12.0033791296061
Channel Islands,CHI,100,..,..,..,100,100,67.2573740254639,32.7426259745361,827.691919191919
Chile,CHL,100,0.833843767642975,23256.5036042211,3.62139813951143,100,100,12.3693709421819,87.6306290578181,24.6093854617587
China,CHN,100,0.356383770704269,14157.2514988004,4.94033876369028,100,100,41.1600761413574,58.8399238586426,147.822641376791
Colombia,COL,92.8,-0.03696658462286,14026.8399931053,9.11458333333333,99.8,98.4,22.7963733637834,77.2036266362166,42.7557566471383
Comoros,COM,70.1,-1.6781952381134,3139.05160740465,..,92.2,76.4,69.2694981830208,30.7305018169792,398.571198280494
"Congo, Dem. Rep.",COD,1,-1.5598304271698,950.022298158597,9.6728307254623,38.6,17.3,58.2709516217089,41.7290483782911,37.0333318629938
"Congo, Rep.",COG,11.6,-1.1338357925415,4016.04908525318,46.1225871994582,62.7,45.3,36.7484683530877,63.2515316469123,15.2929311859444
Costa Rica,CRI,98.5,0.28387451171875,19201.7453233396,9.53165020124406,99.8,99.5,24.4576911914953,75.5423088085047,95.3191931061496
Cote d'Ivoire,CIV,36.7,-0.736379206180573,4530.64849808487,21.9985320331341,92,64.3,50.070008965968,49.929991034032,81.7276886792453
Croatia,HRV,100,0.422308266162872,25802.6823323622,14.0873634945398,100,100,44.2705601400192,55.7294398599808,73.3840861982703
Cuba,CUB,96.4,-0.124649152159691,..,15.2360934597712,100,99.2,23.0884170532227,76.9115829467773,108.2815455594
